city,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,floors,waterfront,view,condition,yr_built,yr_renovated,was_renovated,date,price
Shoreline,3,1.5,1340,7912,1340,0,1.5,0,0,3,1955,0,0,2014-05-02,313000.0
Seattle,5,2.5,3650,9050,3370,280,2.0,0,4,5,1921,0,0,2014-05-02,2384000.0
Kent,3,2.0,1930,11947,1930,0,1.0,0,0,4,1966,0,0,2014-05-02,342000.0
Bellevue,3,2.25,2000,8030,1000,1000,1.0,0,0,4,1963,0,0,2014-05-02,420000.0
Redmond,4,2.5,1940,10500,1140,800,1.0,0,0,4,1976,0,0,2014-05-02,550000.0
Seattle,2,1.0,880,6380,880,0,1.0,0,0,3,1938,1994,1,2014-05-02,490000.0
Redmond,2,2.0,1350,2560,1350,0,1.0,0,0,3,1976,0,0,2014-05-02,335000.0
Maple Valley,4,2.5,2710,35868,2710,0,2.0,0,0,3,1989,0,0,2014-05-02,482000.0
North Bend,3,2.5,2430,88426,1570,860,1.0,0,0,4,1985,0,0,2014-05-02,452500.0
Seattle,4,2.0,1520,6200,1520,0,1.5,0,0,3,1945,0,0,2014-05-02,640000.0
Lake Forest Park,3,1.75,1710,7320,1710,0,1.0,0,0,3,1948,0,0,2014-05-02,463000.0
Seattle,4,2.5,2920,4000,1910,1010,1.5,0,0,5,1909,0,0,2014-05-02,1400000.0
Sammamish,3,1.75,2330,14892,1970,360,1.0,0,0,3,1980,0,0,2014-05-02,588500.0
Seattle,3,1.0,1090,6435,1090,0,1.0,0,0,4,1955,0,0,2014-05-02,365000.0
Seattle,5,2.75,2910,9480,2910,0,1.5,0,0,3,1939,0,0,2014-05-02,1200000.0
Kent,3,1.5,1200,9720,1200,0,1.0,0,0,4,1965,0,0,2014-05-02,242500.0
Bellevue,3,1.5,1570,6700,1570,0,1.0,0,0,4,1956,0,0,2014-05-02,419000.0
Auburn,4,3.0,3110,7231,3110,0,2.0,0,0,3,1997,0,0,2014-05-02,367500.0
Des Moines,3,1.75,1370,5858,1370,0,1.0,0,0,3,1987,0,0,2014-05-02,257950.0
North Bend,3,1.5,1180,10277,1180,0,1.0,0,0,3,1983,0,0,2014-05-02,275000.0
Seattle,3,1.75,2240,10578,1550,690,2.0,0,0,5,1923,0,0,2014-05-02,750000.0
Bellevue,4,1.0,1450,8800,1450,0,1.0,0,0,4,1954,0,0,2014-05-02,435000.0
Seattle,3,2.25,1750,1572,1470,280,2.5,0,0,3,2005,0,0,2014-05-02,626000.0
Bothell,4,2.5,2730,12261,2730,0,2.0,0,0,3,1991,0,0,2014-05-02,612500.0
Seattle,4,1.75,1600,6380,1130,470,1.0,0,0,3,1959,0,0,2014-05-02,495000.0
Federal Way,3,2.5,2090,10834,1360,730,1.0,0,0,4,1987,0,0,2014-05-02,285000.0
Seattle,3,1.75,2360,7291,1360,1000,1.0,0,0,4,1948,0,0,2014-05-02,615000.0
Kirkland,4,2.25,2200,11250,1300,900,1.5,0,0,5,1920,0,0,2014-05-02,698000.0
Issaquah,5,2.5,2820,67518,2820,0,2.0,0,0,3,1979,0,0,2014-05-02,675000.0
Seattle,3,2.5,2600,4750,1700,900,1.0,0,0,4,1951,0,0,2014-05-02,790000.0
Kirkland,4,1.75,1560,8700,1560,0,1.0,0,0,4,1967,0,0,2014-05-02,382500.0
Woodinville,4,2.5,2860,3345,2190,670,2.0,0,0,3,2004,0,0,2014-05-02,499950.0
Seattle,4,2.0,1820,5000,1640,180,1.5,0,1,3,1945,0,0,2014-05-02,650000.0
Shoreline,4,2.5,2820,8408,2820,0,2.0,0,0,3,2014,0,0,2014-05-02,625000.0
Auburn,4,2.5,3630,42884,2300,1330,1.5,0,0,3,1979,0,0,2014-05-02,400000.0
Federal Way,3,2.5,3240,33151,3240,0,2.0,0,2,3,1995,0,0,2014-05-02,604000.0
Seattle,2,1.0,800,4850,800,0,1.0,0,0,4,1944,0,0,2014-05-02,440000.0
Maple Valley,3,3.0,1850,19966,1090,760,1.0,0,0,4,1992,0,0,2014-05-02,287200.0
Normandy Park,3,2.0,1960,13100,1650,310,1.0,0,2,5,1957,0,0,2014-05-02,403000.0
Seattle,3,2.5,2390,6550,1440,950,1.0,0,2,4,1955,0,0,2014-05-02,750000.0
Fall City,3,2.25,1580,16215,1580,0,1.0,0,0,4,1978,0,0,2014-05-02,335000.0
Renton,4,2.0,1480,8625,1480,0,1.0,0,0,4,1974,0,0,2014-05-02,260000.0
Shoreline,2,1.0,850,6174,850,0,1.0,0,0,4,1950,0,0,2014-05-02,308500.0
Seattle,3,2.5,1770,2875,1770,0,2.0,0,0,3,1990,0,0,2014-05-02,439950.0
Seattle,2,1.0,1210,9400,1210,0,1.0,0,0,2,1949,0,0,2014-05-02,235000.0
Woodinville,3,1.0,1160,9180,1160,0,1.0,0,0,3,1968,0,0,2014-05-02,315000.0
Issaquah,3,2.25,1970,35100,1970,0,2.0,0,0,4,1977,0,0,2014-05-02,437500.0
Renton,3,2.5,1930,10460,1930,0,2.0,0,0,3,1996,0,0,2014-05-02,407500.0
Seattle,3,2.5,1270,1180,1270,0,3.0,0,0,3,2001,0,0,2014-05-02,445700.0
Redmond,4,2.5,3310,42998,3310,0,2.0,0,0,3,2001,0,0,2014-05-02,838000.0
Issaquah,4,2.75,2710,37277,2710,0,2.0,0,0,3,2000,0,0,2014-05-02,630000.0
Sammamish,3,1.75,2910,35200,2910,0,1.5,0,0,3,1979,0,0,2014-05-02,550000.0
Seattle,3,2.0,2710,4500,1880,830,1.5,0,0,4,1929,0,0,2014-05-02,805000.0
Carnation,3,1.75,1800,23103,1800,0,1.0,0,0,3,1968,0,0,2014-05-02,284000.0
Bothell,5,2.5,2210,9655,1460,750,1.0,0,0,3,1976,0,0,2014-05-02,470000.0
Bellevue,4,1.5,1920,10000,1070,850,1.0,0,0,4,1954,0,0,2014-05-02,430000.0
Auburn,4,1.75,2190,125452,2190,0,1.0,0,2,3,1968,0,0,2014-05-02,491500.0
Snoqualmie,5,3.25,3660,11995,3660,0,2.0,0,2,3,2006,0,0,2014-05-02,785000.0
Seattle,3,3.25,1320,1327,1040,280,2.0,0,0,3,2008,0,0,2014-05-02,385000.0
Seattle,2,2.5,1630,1368,1280,350,2.0,0,0,3,2009,0,0,2014-05-02,295000.0
Snoqualmie,4,2.5,3310,6500,3310,0,2.0,0,0,3,2012,0,0,2014-05-02,555000.0
